objectid,zip,name,zip_type,state,state_fips,county_fips,county_name,s3dzip,lat,lon,empty_col,tot_res_cnt,mfdu,sfdu,box_cnt,biz_cnt,relver,color,globalid,shape_st_area,shape_st_length
886,15089,WEST NEWTON,NON-UNIQUE,PA,42,42129,WESTMORELAND,150,40.21590808,-79.74185899, ,2881,139,2681,61,177,1.9.3,13,{17006982-B31E-4199-B529-CF78EB4BC0C1},9878841.87307739,16765.4534602238
900,15321,CECIL,NON-UNIQUE,PA,42,42125,WASHINGTON,153,40.32301892,-80.18939955, ,796,0,658,138,74,1.9.3,10,{E0DC3A5E-59AC-4686-BD65-AB36B2F6AF97},2149140.99954224,6361.25946114991
903,15241,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.33186282,-80.0828404, ,7820,658,7027,135,888,1.9.3,15,{AEE5E07F-EF87-4E93-90E0-F7E81B93CA30},278164623.295044,107057.953426832
905,15332,FINLEYVILLE,NON-UNIQUE,PA,42,42125,WASHINGTON,153,40.23664564,-79.98846347, ,3572,106,3403,63,164,1.9.3,5,{B42E936B-EC34-4D0B-A442-5BAA8E985422},97212110.4023438,71434.507237779
908,15063,MONONGAHELA,NON-UNIQUE,PA,42,42125,WASHINGTON,150,40.20063939,-79.92817274, ,5130,157,4851,122,339,1.9.3,11,{00DD3ADA-FF13-44A8-910C-B7C4BAA97BD8},351730691.150757,124861.803755842
2116,15226,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.39597226,-80.01427671, ,6578,603,5908,67,367,1.9.3,11,{09780AB6-B857-4B38-A56A-D6D3581ABFD2},71209724.1869202,56391.6169868657
3732,15207,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.398646,-79.933936, ,5309,344,4885,80,221,1.9.3,5,{1224E878-50CE-407F-B26C-8C0345828818},138583447.985352,123893.748783405
4509,15075,RURAL RIDGE,PO BOX,PA,42,42003,ALLEGHENY,150,40.63261124,-79.83747527, ,90,0,1,89,14,1.9.3,5,{C905BDB3-EC1C-4CA0-9E61-2829DF059A4B},1766234.96868896,10219.522126884
8113,15076,RUSSELLTON,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.6109096,-79.83650823, ,518,40,344,134,78,1.9.3,15,{E1D40D22-317D-4798-BC57-51EA3506E64D},33472845.4471436,50382.0659747641
26920,15209,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.50084865,-79.97402649, ,5733,318,5354,61,344,1.9.3,10,{FF8622D8-3B88-4340-934B-43462715996E},135299105.056824,102525.410051886
26921,16059,VALENCIA,NON-UNIQUE,PA,42,42019,BUTLER,160,40.70351862,-79.93065089, ,3286,0,3088,198,188,1.9.3,11,{FF7EA897-E227-4495-8FE0-C56D26137DCE},22960803.097168,43734.130713055
45053,15243,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.37220649,-80.07521033, ,5679,754,4841,84,232,1.9.3,5,{C0BF2DC2-6B9A-45AC-B700-3E7C0508718E},79745207.9130554,62570.0419152844
45054,15231,PITTSBURGH,UNIQUE,PA,42,42003,ALLEGHENY,151,40.4070605,-80.17620598, ,,,,,,1.9.3,15,{48935354-E8B0-4E13-A8D8-A9BB99E1C627},164443903.812683,57397.8559563871
51869,15136,MCKEES ROCKS,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.43935,-80.10208, ,9910,678,9056,176,759,1.9.3,11,{54A214A1-E5B3-4F76-9F55-658FB5FF37B3},305410007.909729,133055.028324342
58474,15056,LEETSDALE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.56545938,-80.21316383, ,569,65,471,33,127,1.9.3,5,{D6088F5E-503C-454A-BA51-6581B63067C2},31202664.4022217,29584.0707270578
59289,15045,GLASSPORT,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.32654473,-79.886074, ,2155,56,2013,86,140,1.9.3,11,{BD86C225-B5BC-4247-9176-92B850850AC6},48239058.8143005,35487.561486889
60129,15090,WEXFORD,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.62165889,-80.06218593, ,7978,685,7121,172,1154,1.9.3,11,{74772505-7194-4A6A-A583-140CD6D0C836},616880023.885681,229706.733716382
60947,15084,TARENTUM,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.61473817,-79.80443624, ,4538,346,4134,58,472,1.9.3,6,{C0D9CA0E-168D-40E2-94DE-CE213A464BD3},801919470.864075,262054.982760404
61732,15147,VERONA,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.4968904,-79.82986158, ,8048,830,7137,81,386,1.9.3,5,{C8E9D743-01FF-40E1-91A9-E253F403936E},282793003.369751,136677.328949486
63755,15238,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.53502586,-79.88243085, ,5995,584,5205,206,967,1.9.3,6,{32CA1374-D3CD-4AF1-940E-E68DFEEA299E},494942216.681091,176753.448990183
65789,15220,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.37220649,-80.07521033, ,8442,2526,5865,51,797,1.9.3,5,{A22AF33B-BCD9-4AAB-BE12-C1C27FD451C1},138586135.475494,154703.39141268
65793,15217,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.43135754,-79.92139908, ,12495,3165,9119,211,798,1.9.3,15,{FDF46A10-9ECB-443E-AB23-31661B1326A6},110696536.284821,69879.4625500581
65795,15233,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.45789522,-80.02901278, ,1690,396,998,296,535,1.9.3,5,{67DC5634-B394-4CF6-92D7-E2C76D3CC29B},46781733.8347778,38545.44035864
65798,15143,SEWICKLEY,NON-UNIQUE,PA,42,42003,ALLEGHENY,,,,,,,,,,,,{E970DB91-0062-40EF-A631-87BF4885FFEA},941746508.190369,163064.909322383
65799,15210,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,,,,,,,,,,,,{EE7DBADA-FAA2-471A-A5C3-6DDD8D3D89CE},130594332.660492,95748.2168518328
65800,15289,PITTSBURGH,UNIQUE,PA,42,42003,ALLEGHENY,152,40.4430908,-79.95520627, ,11666,6940,4487,239,947,1.9.3,6,{85468FD2-7F65-433B-A15B-7CB4D96B4014},397.601379394531,80.2501473363038
65802,15044,GIBSONIA,NON-UNIQUE,PA,42,42003,ALLEGHENY,,,,,,,,,,,,{D92CD13C-648F-40A4-B132-BFF18ED5815E},1096558606.54236,256823.7860507
65808,15208,PITTSBURGH,NON-UNIQUE,PA,,,,,,,,,,,,,,,{1E4F943C-EA5B-4618-9BD8-91301E733A66},41466498.2698364,43016.8872641251
65809,15222,PITTSBURGH,NON-UNIQUE,PA,,,,,,,,,,,,,,,{E282E9C5-F0FA-4309-8EB9-A262A84EF732},32440064.0779724,41453.4558664802
65810,15108,CORAOPOLIS,NON-UNIQUE,,,,,,,,,,,,,,,,{30C6DF96-2E72-4A5E-8D90-F2B220B36A94},1004425400.18857,273767.88614222
65813,15140,PITCAIRN,NON-UNIQUE,,,,,,,,,,,,,,,,{2D1C07C0-DBD1-4669-8EA9-B8D5274F5E1F},15886553.225647,31166.5161054014
65814,15024,CHESWICK,NON-UNIQUE,,,,,,,,,,,,,,,,{4B4F5D48-E076-4CAF-A08D-2EFD507FFEB5},478947100.124512,211445.214962696
65815,15206,PITTSBURGH,NON-UNIQUE,,,,,,,,,,,,,,,,{54E05A51-0AA5-4929-AA61-3EA8777C138A},138872909.948853,79103.654195151
65816,15037,ELIZABETH,NON-UNIQUE,,,,,,,,,,,,,,,,{9AA90FE0-E9D7-41DF-8A40-2D80A3C9682D},721130546.682037,200531.413615495
65818,15031,CUDDY,NON-UNIQUE,,,,,,,,,,,,,,,,{C27E7FCB-A9FD-4048-A3DC-DACCFAD3E233},26566814.4951782,52747.8995818066
65819,15101,ALLISON PARK,NON-UNIQUE,,,,,,,,,,,,,,,,{D32A2691-6F39-4658-B928-5C21DE015DC7},563607744.681946,208924.983776493
65820,15201,PITTSBURGH,NON-UNIQUE,,,,,,,,,,,,,,,,{DC3F0712-5F19-40C2-9DEF-5F77746BF43F},79550534.1859741,58570.3553522105
65821,15106,CARNEGIE,NON-UNIQUE,,,,,,,,,,,,,,,,{E662DE05-3A97-44D2-B8E1-E8EC1C3A6F00},275347012.788727,126568.91819395
65824,15047,GREENOCK,PO BOX,PA,42,42003,ALLEGHENY,150,40.31121933,-79.79640995, ,163,0,1,162,16,1.9.3,15,{D0843174-66EC-4E75-82B3-87CF445999DA},7581705.48342896,16838.182668178
65825,15071,OAKDALE,NON-UNIQUE,,,,,,,,,,,,,,,,{05FBF04B-C61D-4895-90C0-40F95244EF61},451173459.558105,218541.906612463
65826,15237,PITTSBURGH,NON-UNIQUE,,,,,,,,,,,,,,,,{559E7294-995C-4069-B848-DA84DF1D1BBF},666708650.944946,240488.169773244
65828,15032,CURTISVILLE,PO BOX,PA,42,42003,ALLEGHENY,150,40.61473817,-79.80443624, ,4538,346,4134,58,472,1.9.3,6,{DB50227E-70F4-42B6-8520-7459A48CA185},22681.8500976562,603.211022533371
65833,15218,PITTSBURGH,NON-UNIQUE,,,,,,,,,,,,,,,,{18474869-7ECE-4438-85F9-FB433D8614E1},69162517.6388855,47873.5157166603
65837,15221,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.43174313,-79.86487858, ,16040,3486,12256,298,826,1.9.3,11,{FD9F8061-8A24-42E9-B338-E4E0AD2E4902},166123056.744873,95113.5310479246
65839,15205,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.43935,-80.10208, ,10831,1718,8997,116,1222,1.9.3,11,{0DA8A3EB-2BBC-4D9A-B932-9C9C9BF5E3E3},385585437.834137,236543.023255541
65841,15202,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.4677639,-80.05312347, ,14090,2933,10866,291,961,1.9.3,8,{596780DC-3492-441C-B852-8ED5E8E6875C},146840660.427063,96509.1864107947
65843,15020,BUNOLA,PO BOX,PA,42,42003,ALLEGHENY,150,40.21979141,-79.96302413, ,131,0,1,130,13,1.9.3,12,{7BA41FA5-A08E-4044-838B-38B44C854A22},53379519.6040649,51637.2090277439
65844,15146,MONROEVILLE,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.42693174,-79.759102, ,13159,3114,9836,209,1837,1.9.3,16,{87B76932-3DF4-497E-9020-0A81F8E8D5DF},538196342.260712,157578.727104556
65846,15003,AMBRIDGE,NON-UNIQUE,PA,42,42007,BEAVER,150,40.60947689,-80.22024162, ,5481,211,5085,185,474,1.9.3,11,{BEE356E5-9705-415D-AB67-C252703A5708},11563169.9153442,27227.8276222451
65847,15012,BELLE VERNON,NON-UNIQUE,PA,42,42129,WESTMORELAND,150,40.15614,-79.812132,,7110,180,6786,144,651,1.9.3,10,{D5A8A667-20C7-47B4-8888-CDA30298A01B},3551132.18548584,8916.4008057568
65848,15219,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,,,,,,,,,,,,{74DDFBD0-70A7-418F-AED5-81461B7CAF82},76556518.16922,80002.5808485925
65850,15229,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.517189,-80.030806, ,6411,665,5672,74,312,1.9.3,5,{B3A2FEBC-D3DA-476A-A009-D409E4223DB5},116596257.950684,91290.8062356957
65852,15212,PITTSBURGH,NON-UNIQUE,,,,,,,,,,,,,,,,{19490CF1-1635-4D76-B948-A9AF1AC9C9B4},175616416.854431,141895.404435929
65853,15214,PITTSBURGH,NON-UNIQUE,,,,,,,,,,,,,,,,{3B8C6B27-A691-4AF0-BED2-4899B8A9B334},119495953.074463,92562.3995209746
65854,15228,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.37072859,-80.04510354, ,7700,1883,5785,32,444,1.9.3,10,{D11EB839-D7AF-4F2E-8473-24536BDF014A},84450065.0866394,72795.0153683614
65857,15120,HOMESTEAD,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.39606444,-79.90626658, ,9303,1035,8024,244,651,1.9.3,6,{0633EEA0-5D09-49B1-8B92-F880894F4A82},139153748.084076,60034.8194220893
65858,16229,FREEPORT,NON-UNIQUE,PA,42,42003,WESTMORELAND,150,40.64174598,-79.72652033, ,5339,309,4928,102,399,1.9.3,10,{0D770737-E594-4836-901B-DB980EC8090E},2600855.61334229,9039.70877008616
65859,15065,NATRONA HEIGHTS ,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.64174598,-79.72652033, ,,,,,,1.9.3,10,{93963C1A-0FC4-44BF-AAE8-2913DD045455},352042231.252136,110563.180791778
65860,15236,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.38282012,-79.94502258, ,13685,2318,11099,268,1035,1.9.3,15,{963EE1DD-4829-4C1A-9603-15A1F371E384},305409663.451996,211157.172252165
65861,15057,MCDONALD,NON-UNIQUE,,,,,,,,,,,,,,,,{B7560012-6F81-4535-8D44-7CBFA9E03AE5},521057244.845245,263092.512031259
65862,15025,CLAIRTON,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.28416284,-79.91537341, ,7218,277,6768,173,494,1.9.3,0,{F4C38EAE-66F7-4AE9-8556-63FDBA85AFDF},455822509.395905,179938.14844425
65863,16046,MARS,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.62165889,-80.06218593, ,5311,0,4517,794,479,1.9.3,11,{F5EC7236-8135-40FE-9B93-26F2968324A2},95377731.3344727,104705.836187049
65864,15235,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.43174313,-79.86487858, ,16040,3486,12256,298,826,1.9.3,11,{46426E84-8EBC-442D-9954-9080DFD28B3F},394292531.936401,195345.645483312
65868,16066,CRANBERRY,NON-UNIQUE,PA,42,42003,BUTLER,150,40.62165889,-80.06218593, ,5311,0,4517,794,479,1.9.3,11,{F451F35B-F7EC-4B55-B5D1-8F4CBC94428F},41870.8895263672,1161.41085581665
65869,15126,IMPERIAL,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.4070605,-80.17620598, ,3084,294,2663,127,235,1.9.3,15,{E25B4558-43A8-4731-88D5-70E5B261E9FF},534747709.754456,185685.66690126
65870,15026,CLINTON,NON-UNIQUE,PA,42,42007,BEAVER,150,40.51234159,-80.37390453, ,1457,0,1205,252,90,1.9.3,0,{31910966-809F-42FE-B179-135B2A2CE162},159605872.426056,119194.261596942
